secid,date,low,high,close,volume,return,cfadj,open,cfret,shrout
109820.0,2023-01-03,377.831,386.43,380.82,74850731.0,-0.00421,1.0,384.37,1.62005,932632.0
109820.0,2023-01-04,380.0,385.88,383.76,85934098.0,0.00772,1.0,383.18,1.62005,932632.0
109820.0,2023-01-05,378.76,381.84,379.38,76970456.0,-0.011413,1.0,381.72,1.62005,927282.0
109820.0,2023-01-06,379.4127,389.25,388.08,104189603.0,0.022932,1.0,382.61,1.62005,931982.0
109820.0,2023-01-09,387.67,393.7,387.86,73978071.0,-0.000567,1.0,390.37,1.62005,929682.0
109820.0,2023-01-10,386.27,390.65,390.58,65358094.0,0.007013,1.0,387.25,1.62005,929882.0
109820.0,2023-01-11,391.38,395.6,395.52,68881080.0,0.012648,1.0,392.23,1.62005,932382.0
109820.0,2023-01-12,392.42,398.485,396.96,90157699.0,0.003641,1.0,396.67,1.62005,933682.0
109820.0,2023-01-13,393.34,399.1,398.5,63903932.0,0.00388,1.0,393.62,1.62005,934132.0
109820.0,2023-01-17,397.06,400.23,397.77,62677281.0,-0.001832,1.0,398.48,1.62005,933882.0
109820.0,2023-01-18,391.28,400.12,391.49,99632262.0,-0.015788,1.0,399.01,1.62005,933882.0
109820.0,2023-01-19,387.26,391.08,388.64,86958919.0,-0.00728,1.0,389.36,1.62005,935582.0
109820.0,2023-01-20,388.38,396.04,395.88,91806356.0,0.018629,1.0,390.1,1.62005,934732.0
109820.0,2023-01-23,395.72,402.645,400.63,84178797.0,0.011999,1.0,396.72,1.62005,932632.0
109820.0,2023-01-24,397.64,401.15,400.2,59524911.0,-0.001073,1.0,398.88,1.62005,934082.0
109820.0,2023-01-25,393.56,400.7,400.35,84800251.0,0.000375,1.0,395.95,1.62005,937182.0
109820.0,2023-01-26,400.03,404.92,404.75,72287425.0,0.01099,1.0,403.13,1.62005,935732.0
109820.0,2023-01-27,403.44,408.16,405.68,68346180.0,0.002298,1.0,403.655,1.62005,937432.0
109820.0,2023-01-30,400.28,405.13,400.59,74202018.0,-0.012547,1.0,402.8,1.62005,937382.0
109820.0,2023-01-31,400.77,406.53,406.48,86811786.0,0.014703,1.0,401.13,1.62005,938082.0
109820.0,2023-02-01,402.35,413.67,410.8,101459155.0,0.010628,1.0,405.211,1.62005,936332.0
109820.0,2023-02-02,412.88,418.31,416.78,101654463.0,0.014557,1.0,414.86,1.62005,934882.0
109820.0,2023-02-03,411.09,416.97,412.35,94736781.0,-0.010629,1.0,411.59,1.62005,933332.0
109820.0,2023-02-06,408.1,411.29,409.83,60295325.0,-0.006111,1.0,409.79,1.62005,940432.0
109820.0,2023-02-07,407.57,416.49,415.19,90990745.0,0.013079,1.0,408.87,1.62005,934482.0
109820.0,2023-02-08,409.93,414.53,410.65,76227462.0,-0.010935,1.0,413.13,1.62005,930732.0
109820.0,2023-02-09,405.81,414.57,407.09,78694859.0,-0.008669,1.0,414.41,1.62005,927782.0
109820.0,2023-02-10,405.01,408.44,408.04,70769715.0,0.002334,1.0,405.86,1.62005,926282.0
109820.0,2023-02-13,408.24,412.97,412.83,64913539.0,0.011739,1.0,408.72,1.62005,923282.0
109820.0,2023-02-14,408.511,415.05,412.64,88389313.0,-0.00046,1.0,411.24,1.62005,924732.0
109820.0,2023-02-15,409.47,414.06,413.98,61685279.0,0.003247,1.0,410.35,1.62005,924732.0
109820.0,2023-02-16,408.14,412.91,408.28,76431469.0,-0.013769,1.0,408.79,1.62005,925882.0
109820.0,2023-02-17,404.05,407.51,407.26,89257815.0,-0.002498,1.0,406.06,1.62005,919482.0
109820.0,2023-02-21,398.82,404.16,399.09,82655924.0,-0.020061,1.0,403.06,1.62005,918332.0
109820.0,2023-02-22,397.02,401.13,398.54,83742293.0,-0.001378,1.0,399.52,1.62005,918332.0
109820.0,2023-02-23,396.25,402.2,400.66,96242399.0,0.005319,1.0,401.56,1.62005,916532.0
109820.0,2023-02-24,393.64,397.25,396.38,108194413.0,-0.010682,1.0,395.42,1.62005,913632.0
109820.0,2023-02-27,396.75,401.29,397.73,80444736.0,0.003406,1.0,399.87,1.62005,911582.0
109820.0,2023-02-28,396.15,399.28,396.26,96438567.0,-0.003696,1.0,397.23,1.62005,912582.0
109820.0,2023-03-01,393.38,396.69,394.74,99706823.0,-0.003836,1.0,395.41,1.62005,908282.0
109820.0,2023-03-02,392.33,398.69,397.81,85404726.0,0.007777,1.0,392.68,1.62005,906982.0
109820.0,2023-03-03,399.03,404.45,404.19,90119952.0,0.016038,1.0,399.71,1.62005,907682.0
109820.0,2023-03-06,404.01,407.45,404.47,72795946.0,0.000693,1.0,405.05,1.62005,898532.0
109820.0,2023-03-07,397.625,404.67,398.27,108310596.0,-0.015329,1.0,404.42,1.62005,890382.0
109820.0,2023-03-08,396.59,399.71,398.92,74746632.0,0.001632,1.0,398.39,1.62005,901382.0
109820.0,2023-03-09,390.53,401.48,391.56,111945322.0,-0.01845,1.0,399.74,1.62005,907132.0
109820.0,2023-03-10,384.32,393.16,385.91,189252996.0,-0.014429,1.0,390.99,1.62005,907832.0
109820.0,2023-03-13,380.65,390.39,385.36,157789967.0,-0.001425,1.0,381.81,1.62005,902582.0
109820.0,2023-03-14,387.05,393.45,391.73,149752357.0,0.01653,1.0,390.5,1.62005,903132.0
109820.0,2023-03-15,383.71,389.49,389.28,172996933.0,-0.006254,1.0,385.89,1.62005,889882.0
109820.0,2023-03-16,386.29,396.47,396.11,143753940.0,0.017545,1.0,386.82,1.62005,891982.0
109820.0,2023-03-17,388.55,394.4,389.99,140553411.0,-0.011648,1.0,393.22,1.626307,887332.0
109820.0,2023-03-20,390.07,394.17,393.74,93055783.0,0.009616,1.0,390.8,1.626307,892832.0
